1 x 1   Plan 9 From Outer Space (Mike Nelson Solo)	2006-01-01	  
1 x 2   Night of the Living Dead (Mike Nelson solo)	2006-01-18	  
1 x 3   Road House	2006-07-21	  
1 x 4   The Fifth Element	2006-08-06	  
1 x 5   Star Trek V: The Final Frontier	2006-08-18	  
1 x 6   Cocktail	2006-08-29	  
1 x 7   xXx	2006-09-06	  
1 x 8   Crossroads	2006-09-15	  
1 x 9   X-Men	2006-09-22	  
2 x 2   Star Trek New Voyages: To Serve All My Days	2008-05-28	  
2 x 3   The X-Files: Fight the Future	2008-06-03	  
2 x 4   House of Wax	2008-05-28	  
2 x 5   Star Trek New Voyages: World Enough and Time	2008-05-08	  
2 x 6   Saw	2008-05-13	  
2 x 7   Alien	2008-06-10	  
2 x 8   Spider-Man 2	2008-09-05	  
2 x 9   The Day After Tomorrow	2008-09-16	  
2 x 10	Dirty Dancing	2008-09-23	  
2 x 11	Die Hard	2009-04-10	  
2 x 12	Tron	2009-05-26	  
2 x 13	Ghost	2009-06-25	  
2 x 14	The Running Man	2009-07-09	  
2 x 15	Batman Forever	2009-09-30	  
2 x 16	Planet of the Apes	2009-09-01	  
2 x 17	Footloose	2009-11-05	  
2 x 18	Ghost Rider	2009-11-13	  
2 x 19	Poltergeist	2010-04-15	  
2 x 20	Armageddon	2010-06-11	  
2 x 21	The Lost Boys	2010-07-04	  
2 x 22	Jaws 3	2010-10-08	  
2 x 23	Jurassic Park III	2011-04-15	  
2 x 24	Sherlock Holmes	2011-12-13	  
2 x 25	Flatliners	2012-07-19	  
2 x 26	The Expendables	2012-09-13	  
2 x 27	Horror Express	2013-03-28	  
2 x 28	King of Kong Island	2014-01-29	  
2 x 29	Scared to Death	2014-08-04	  
2 x 30	Warning from Space	2015-05-15	  
2 x 31	Dreamscape	2015-06-19	  
2 x 32	Flight to Mars	2016-03-18	  
2 x 33	Cat-Women of the Moon	2016-04-15	  
2 x 34	Gravity	2016-10-06	  
2 x 35	The Amazing Mr. X	2017-01-06	  
2 x 36	Angel's Revenge	2017-04-07	  
2 x 37	Hangar 18	2017-06-23	 
2 x 38	Deadly Instincts	2017-09-08	  
3 x 0	****************Dupe**Home of the future**Dupe ******************	2016-11-18	  
3 x 0	****************Dup**The Home of the Future**Dup ******************	2016-10-21	  
3 x 0	****************Dup**Measure Metric**Dup ******************	2016-10-21	  
3 x 0	****************Dupe**Truck Song**Dupe ******************	2016-11-28	  
Special	Signal 30 (Excerpt)	2007-12-16	
3 x 1   A Visit to Santa	2007-12-20	  
3 x 2   Act Your Age	2008-01-01	  
3 x 3   Beginning Responsibility: Lunchroom Manners	2008-02-22	  
3 x 4   The Terrible Truth	2008-02-28	  
3 x 5   Why Doesn't Cathy Eat Breakfast / Petaluma Chicken	2008-03-07	  
3 x 6   Coffeehouse Rendezvous	2008-03-14	  
3 x 7   Safety - Harm Hides at Home	2008-03-28	  
3 x 8   Are You Popular	2008-04-08	  
3 x 9   If Mirrors Could Speak	2008-04-11	  
3 x 10	One Got Fat	2008-04-18	  
3 x 11	Drugs are Like That	2008-06-17	  
3 x 12	Down and Out	2008-07-01	  
3 x 13	Patriotism	2008-07-03	  
3 x 14	Skipper Learns a Lesson	2008-07-08	  
3 x 15	Buying Food	2008-07-11	  
3 x 16	Right or Wrong?	2008-07-15	  
3 x 17	The Trouble With Women	2008-07-18	  
3 x 18	It Must Be the Neighbors	2008-07-22	  
3 x 19	Each Child Is Different	2008-07-25	  
3 x 20	Kitty Cleans Up	2008-07-29	  
3 x 21	Why Vandalism	2008-07-31	  
3 x 22	Aqua Frolics	2008-09-30	  
3 x 23	Good Health Practices	2008-10-24	  
3 x 24	Good Eating Habits	2008-10-31	  
3 x 25	Know For Sure	2008-11-21	  
3 x 26	Christmas Toyshop	2008-12-22	  
3 x 27	Shy Guy	2009-01-06	  
3 x 28	Self Conscious Guy	2009-01-16	  
3 x 29	Overcoming Fear	2009-01-28	  
3 x 30	Playing Together	2009-02-27	  
3 x 31	How Much Affection?	2009-03-20	  
3 x 32	Your Chance to Live	2009-03-24	  
3 x 33	Understanding Your Ideals	2009-03-28	  
3 x 34	As We Like It	2009-04-01	  
3 x 35	Going Steady	2009-04-03	  
3 x 36	Carnivorous Plants	2009-04-07	  
3 x 37	You and Your Family	2009-04-17	  
3 x 38	Primary Safety: In the School Building	2009-04-24	  
3 x 39	Damaged Goods	2009-04-29	  
3 x 40	Cooking Terms	2009-05-01	  
3 x 41	What About Juvenile Delinquency?	2009-05-05	  
3 x 42	Snap Out of It	2009-05-08	  
3 x 43	Toward Emotional Maturity	2009-05-12	  
3 x 44	Alcohol Trigger Films	2009-05-22	  
3 x 45	Back to School With Joan Miller	2009-07-14	  
3 x 46	Highway Mania	2009-07-17	  
3 x 47	The Bill of Rights in Action	2009-07-21	  
3 x 48	Shake Hands with Danger	2009-07-23	  
3 x 49	Wing Claw and Fang!	2009-07-28	  
3 x 50	The Tale of Moose Baby	2009-08-11	  
3 x 51	Flying Stewardess	2009-08-25	  
3 x 52	Constance Bennett's Daily Beauty Rituals	2009-08-28	  
3 x 53	Teenagers On Trial	2009-09-04	  
3 x 54	Cork - Crashes and Curiosities	2008-09-08	  
3 x 55	What It Means To Be An American (Part 1)	2009-09-11	  
3 x 56	The Case of Tommy Tucker (Part 1)	2009-09-15	  
3 x 57	What It Means To Be An American (Part 2)	2009-09-18	  
3 x 58	The Case of Tommy Tucker (Part 2)	2009-09-22	  
3 x 59	Women In Blue	2009-09-25	  
3 x 60	A Circus Wakes Up	2009-10-13	  
3 x 61	American Thrift (Part 1)	2009-10-16	  
3 x 62	Call It Free (Part 1)	2009-11-10	  
3 x 63	Christmas Rhapsody	2009-12-18	  
3 x 64	Christmas Dream	2009-12-22	  
3 x 65	Rudolph the Red Nosed Reindeer	2009-12-22	  
3 x 66	The Night Before Christmas	2009-12-24	  
3 x 67	Three Magic Words	2009-12-30	  
3 x 68	Parade of Aquatic Champions	2010-01-05	  
3 x 69	American Thrift (Part 2)	2010-02-26	  
3 x 70	Molly Grows Up	2010-03-02	  
3 x 71	Call it Free (Part 2)	2010-03-05	  
3 x 72	Story of a Teenage Drug Addict	2010-03-08	  
3 x 73	Following Instructions Game	2010-03-23	  
3 x 74	Little Lost Scent	2010-03-26	  
3 x 75	An Aquarium in Action	2010-03-30	  
3 x 76	Mr. Moto Takes A Walk	2010-04-02	  
3 x 77	Seat Belts: The Life Saving Habit	2010-04-06	  
3 x 78	Drawing for Beginners: The Rectangle	2010-04-27	  
3 x 79	Kittens: Birth and Growth	2010-04-30	  
3 x 80	Reading: Who needs it?	2010-05-04	  
3 x 81	Families: Food and Eating	2010-05-07	  
3 x 82	Summer is an Adventure	2010-05-11	  
3 x 83	Beginning Responsibility: Taking Care Of Your Own Things	2010-05-18	  
3 x 84	Reading Growth: Basic Skills	2010-05-21	  
3 x 85	Geography of Your Community	2010-05-28	  
3 x 86	The Parts of Speech	2010-06-01	  
3 x 87	Watch Out For My Plant	2010-06-04	  
3 x 88	Values: The Right Thing To Do	2010-06-08	  
3 x 89	Family Teamwork	2010-06-15	  
3 x 90	Pearl of the Orient	2010-06-18	  
3 x 91	Individual Differences	2010-06-25	  
3 x 92	Whatever The Weather	2010-06-29	  
3 x 93	Building Better Paragraphs	2010-07-02	  
3 x 94	Are People All The Same?	2010-07-06	  
3 x 95	Mealtime Manners and Health	2010-07-09	  
3 x 96	Things Are Different Now	2010-07-23	  
3 x 97	William's Doll	2010-08-06	  
3 x 98	Decisions Decisions	2010-08-10	  
3 x 99	Library World	2010-08-13	  
3 x 100	The Fad Diet Circus	2010-08-16	  
3 x 101	More Dangerous Than Dynamite	2010-08-19	  
3 x 102	Alone At Home	2010-08-31	  
3 x 103	Telephone For Help	2010-09-07	  
3 x 104	What If We Had a Fire?	2010-09-14	  
3 x 105	Seven Little Ducks	2010-09-22	  
3 x 106	Cops: Who Needs Them?	2010-09-28	  
3 x 107	You Can Do Something About Acne	2010-10-05	  
3 x 108	Safe Living at School	2010-10-12	  
3 x 109	Behavior of Domestic Pigs in a semi-Natural Pig-Park	2010-10-15	  
3 x 110	Monkey See, Monkey Do: Verbs	2010-10-19	  
3 x 111	Don't Be A Bloody Idiot	2010-10-25	  
3 x 112	Magical Disappearing Money	2010-11-05	  
3 x 113	Values: Understanding Ourselves	2010-11-08	  
3 x 114	The Calendar: How to Use It	2010-11-23	  
3 x 115	Unto The Least Of These	2010-12-07	  
3 x 116	Santa Claus' Punch and Judy	2010-12-18	  
3 x 117	Courtesy A Good Eggsample	2010-12-28	  
3 x 118	The Being On Time Game	2011-01-04	  
3 x 119	Basic Job Skills: Handling Daily Problems	2011-01-11	  
3 x 120	Courtesy Counts A Lot!	2011-01-18	  
3 x 121	Remember Me	2011-02-08	  
3 x 122	Walking to School	2011-02-11	  
3 x 123	Improve Your Pronunciation	2011-02-18	  
3 x 124	Basic Job Skills: Dealing With Customers	2011-03-01	  
3 x 125	The ABC of Walking Wisely	2011-03-11	  
3 x 126	Vision in the Forest	2011-03-29	  
3 x 127	A Badger's Bad Day	2011-04-19	  
3 x 128	Families: Earning and Spending	2011-04-22	  
3 x 129	Kangaroos	2011-04-26	  
3 x 130	The Red Hen	2011-04-27	  
3 x 131	Christmas Shorts-Stravaganza! Live	2009-12-01	  
3 x 132	Tooth Truth with Harv and Marv	2011-05-03	  
3 x 133	County Fair	2011-05-06	  
3 x 134	Prickly the Porcupine	2011-05-10	  
3 x 135	The Mysterious Message	2011-06-07	  
3 x 136	Beginning Responsibility: Being a Good Sport	2011-06-15	  
3 x 137	Animal Homes	2011-06-28	  
3 x 138	Beginning Responsibilites: Getting Ready For School	2011-07-01	  
3 x 139	Adventures of a Chipmunk Family	2011-07-05	  
3 x 140	Billy's Helicopter Ride	2011-07-07	  
3 x 141	Paper and I	2011-07-13	  
3 x 142	Aesop's Sound Fables - Frozen Frolics	2011-07-15	  
3 x 143	At Your Fingertips: Grasses	2011-07-23	  
3 x 144	At Your Fingertips: Boxes	2011-07-26	  
3 x 145	Borrowed Power	2011-07-29	  
3 x 146	Eggs to Market	2011-08-12	  
3 x 147	A Boy of Mexico: Juan and his Donkey	2011-08-16	  
3 x 148	One Turkey, Two Turkey	2011-08-20	  
